/PNum,uh,uha,ppt,ppta,reflc,reflca,ref1km,ref1kma,WMAG,WMAGa,time,area,member,Date,Reports,UHobj,NREPS,MREPS,lat,lon,uhlength,uharea,1kmArea,Updraft,Updrafta,Upobj,Uparea,Uplen
0,5,0.849702,11.125,9.875,45.875,37.8601,45,35.3304,10,6.35714,14,42,sseo05,140603,0,NA,0,000,23.2993,-73.693,NA,NA,36,4.34375,1.47619,NA,NA,NA
1,2.5625,0.643145,14,8.75,45.375,39.2903,44.5,37.4476,10,8.58065,14,93,sseo05,140603,0,NA,0,000,50.5002,-74.2767,NA,NA,88,1.78125,1.08569,NA,NA,NA
2,2.75,1.77232,12,10.875,44.875,38.8527,44.25,37.0804,8,6.75,14,28,sseo05,140603,0,NA,0,000,50.0115,-74.4172,NA,NA,28,1.53125,1.27902,NA,NA,NA
3,2.6875,1.0163,9,0.125,46.125,40.3478,45.75,38.4348,7,6.52174,14,23,sseo05,140603,0,NA,0,000,49.6335,-74.54,NA,NA,21,2.21875,1.44973,NA,NA,NA
4,6.8125,1.34118,18.125,6.625,49.625,39.8451,49.125,38.7593,8,5.78731,14,268,sseo05,140603,0,NA,0,000,46.9611,-75.4073,NA,NA,264,2.78125,1.22785,NA,NA,NA
5,4.0625,1.53518,16.125,7.375,44.875,38.738,43.875,34.8043,12,6.45995,14,437,sseo05,140603,0,NA,0,000,43.9425,-77.3855,NA,NA,371,2.78125,1.28211,NA,NA,NA
6,30.375,3.12628,57.125,56.625,48.875,39.8365,48.5,36.7671,16,12.637,14,146,sseo05,140603,0,NA,0,000,24.179,-81.7757,NA,NA,132,5.71875,1.69949,NA,NA,NA
7,0.8125,0.145833,5.125,0,48.125,41.9028,45.375,34.5417,7,5.77778,14,9,sseo05,140603,0,NA,0,000,45.2116,-78.9055,NA,NA,6,2.96875,2.03125,NA,NA,NA
8,2.625,1.35308,15.875,0.875,44.875,39.4269,44.5,37.8247,6,5.50649,14,77,sseo05,140603,0,NA,0,000,39.422,-80.186,NA,NA,74,1.71875,1.01096,NA,NA,NA
9,0.625,0.101351,12.375,0.875,49.375,41.8547,48.25,37.2365,9,7.37838,14,37,sseo05,140603,0,NA,0,000,44.7444,-79.5681,NA,NA,34,3.65625,1.71706,NA,NA,NA
10,2.625,0.739183,15.5,0.125,50.25,39.476,49,33.6298,9,6.55769,14,52,sseo05,140603,0,NA,0,000,46.2901,-79.6766,NA,NA,39,3.21875,1.42548,NA,NA,NA
11,44.6875,2.21976,103.125,69.125,53.375,39.9884,52.75,34.7823,17,12.3669,14,248,sseo05,140603,0,NA,0,000,25.0409,-82.6513,NA,NA,209,7.71875,1.49521,NA,NA,NA
12,16.0625,1.07217,33.625,19.125,49.875,41.1026,49.5,38.5148,9,5.64641,14,362,sseo05,140603,0,NA,0,000,37.9508,-81.6392,NA,NA,326,5.15625,1.91108,NA,NA,NA
13,3.8125,1.54924,11,0.5,49.75,41.3712,48.75,27.6098,8,6.78788,14,33,sseo05,140603,0,NA,0,000,46.7997,-80.734,NA,NA,21,3.59375,1.7983,NA,NA,NA
14,8.0625,1.4858,7.5,1.875,45.125,39.7841,44.75,38.7102,14,11.3182,14,22,sseo05,140603,0,NA,0,000,24.5803,-83.4961,NA,NA,22,2.71875,1.35227,NA,NA,NA
15,2.4375,0.935811,15.375,0,49.25,40.7568,48.625,38.3311,6,5.13514,14,37,sseo05,140603,0,NA,0,000,36.8495,-82.9196,NA,NA,36,5.90625,2.88936,NA,NA,NA
16,33.5,1.79467,89,76.25,54.75,40.8547,54.5,39.0097,14,9.40954,14,901,sseo05,140603,0,NA,0,000,25.9467,-85.2374,NA,NA,846,10.0938,1.67137,NA,NA,NA
17,7.25,3.175,8.875,1.25,49,40.5583,48.125,35.2167,6,5.73333,14,15,sseo05,140603,0,NA,0,000,37.2937,-83.106,NA,NA,13,4.40625,2.53542,NA,NA,NA
18,34.4375,4.66964,51.25,3.75,53.25,44.3135,52.125,38.0417,13,9.79365,14,63,sseo05,140603,0,NA,0,000,24.6844,-84.4606,NA,NA,50,7.28125,3.59474,NA,NA,NA
19,7.8125,3.57812,12.5,1.5,49.875,42.2969,48.75,38.6797,5,4.1875,14,16,sseo05,140603,0,NA,0,000,36.93,-83.6879,NA,NA,16,7.78125,4.26953,NA,NA,NA
20,6.8125,2.27187,4.875,0,50.625,41.6312,43.5,22.0187,9,6.95,14,20,sseo05,140603,0,NA,0,000,39.6883,-84.0448,NA,NA,9,6.71875,3.33437,NA,NA,NA
21,16.8125,2.79922,54.125,43.875,50.25,41.7188,49.5,38.3969,8,5.4375,14,80,sseo05,140603,0,NA,0,000,24.6729,-85.3517,NA,NA,73,5.15625,2.07812,NA,NA,NA
22,7,2.05682,7.625,0.5,46.875,40.2386,46.375,37.8182,4,3.72727,14,11,sseo05,140603,0,NA,0,000,36.377,-84.5289,NA,NA,9,4.78125,2.32102,NA,NA,NA
23,10.1875,1.9375,67.25,76.5,52.125,41.1817,51.375,35.3546,12,8.38298,14,141,sseo05,140603,0,NA,0,000,28.8428,-86.5903,NA,NA,113,7.84375,1.98825,NA,NA,NA
24,25.9375,5.68945,48.625,36.125,49.625,40.2266,49.125,28.668,16,13.625,14,64,sseo05,140603,0,NA,0,000,29.6885,-86.7456,NA,NA,45,4.03125,1.76562,NA,NA,NA
25,5.75,1.16173,53.25,8.625,52.75,43.5,52.5,33.8827,12,6.16495,14,97,sseo05,140603,0,NA,0,000,29.6578,-87.5975,NA,NA,72,9.09375,3.25097,NA,NA,NA
26,3.375,0.621128,43.5,53.5,45.875,39.4458,45.375,35.3772,11,7.40708,14,113,sseo05,140603,0,NA,0,000,26.7447,-88.5901,NA,NA,99,3.96875,1.48368,NA,NA,NA
27,3,0.707237,11.375,2.75,47.25,40.375,46.5,37.8092,11,9.52632,14,19,sseo05,140603,0,NA,0,000,26.4681,-89.882,NA,NA,18,3.53125,1.8273,NA,NA,NA
28,2.75,0.215,18.125,0,49.875,40.2017,49.25,24.5917,14,7.85333,14,75,sseo05,140603,0,NA,0,000,39.0569,-92.523,NA,NA,39,12.0938,1.77875,17.9688,25,91.4947
29,8.8125,1.20658,33.375,2.75,51.625,42.4197,49.5,20.5737,6,3.71579,14,95,sseo05,140603,0,NA,0,000,37.7687,-94.6771,NA,NA,50,12.0312,2.66678,12.0312,30,61.512
30,2.8125,0.222356,9.25,0.25,46.25,39.8558,45,17.9327,6,5.63462,14,52,sseo05,140603,0,NA,0,000,38.4148,-96.1531,NA,NA,27,7.09375,3.34135,NA,NA,NA
31,32.0625,3.94743,8.875,10.125,47.875,40.5424,46.875,27.3364,9,7.02804,14,321,sseo05,140603,0,NA,0,000,43.6681,-101.9,NA,NA,181,12.1562,4.16676,12.2188,103,156.225
32,3.625,0.397959,10.375,0,46.625,39.6939,45.625,24.0459,8,5.57143,14,49,sseo05,140603,0,NA,0,000,46.3558,-105.379,NA,NA,27,5.34375,2.00957,NA,NA,NA
33,10.5938,1.78763,33.875,11.125,47.75,39.9617,47.375,28.7781,10,7.40816,15,49,sseo05,140603,0,NA,0,000,23.2153,-73.6866,NA,NA,36,6.75,2.32398,NA,NA,NA
